student_id,department,employment_status,industry,salary,company,open_response
STU2024054,Business,Employed Full-time,Real Estate,68000,CBRE,"Commercial real estate requires networking aggressively. The relationships I built through internships led directly to my full-time opportunity."
STU2024055,Mechanical Engineering,Employed Full-time,Government,74000,NASA Jet Propulsion Laboratory,"Working on space exploration is a childhood dream fulfilled. The university's aerospace engineering connections were crucial for this placement."
STU2024056,Data Science,Employed Full-time,Healthcare,91000,Optum,"Health analytics is one of the fastest growing areas in data science. The domain knowledge required makes it highly specialized."
STU2024057,Electrical Engineering,Employed Full-time,Technology,98000,NVIDIA,"GPU architecture is the foundation of modern AI. Deep learning knowledge combined with hardware understanding is rare and valuable."
STU2024058,Econ,Employed Full-time,Consulting,71000,PwC,"Economic analysis skills are highly valued in management consulting. The quantitative reasoning my degree required is a differentiator."
STU2024059,Biology,Not Seeking,,,,"Volunteering at a wildlife conservation organization before deciding on graduate school or industry. Taking time to explore my options."
STU2024060,Computer Science,Employed Full-time,Technology,108000,Airbnb,"Full-stack development skills made me versatile. The startup environment moves fast and rewards autonomous problem solving."
STU2024061,Nursing,Employed Full-time,healthcare,75000,HCA Healthcare,"Nursing shortage means strong negotiating power. I negotiated a signing bonus and relocation assistance in addition to base salary."
STU2024062,Business Administration,Employed Full-time,financial services,69000,Wells Fargo,"Rotational programs are excellent for exploring different areas of banking. I started in commercial lending and transitioned to risk management."
STU2024063,comp sci,Employed Full-time,tech,97000,Twilio,"API-first companies are exciting to work at. Understanding cloud infrastructure has been essential from day one of my role."
STU2024064,Statistics,Employed Full-time,Biotech,85000,Moderna,"Biostatistics is a specialized field with high demand and compensation. The clinical trials methodology coursework was essential preparation."
STU2024065,Mathematics,Employed Full-time,Technology,89000,Wolfram Research,"Applied mathematics in software is a niche but rewarding career. Computational mathematics skills transfer well to algorithm engineering."
STU2024066,Communications,Employed Full-time,marketing,55000,HubSpot,"Content marketing and data analysis are increasingly intertwined. Understanding analytics platforms made me stand out in interviews."
STU2024067,Mechanical Engineering,Employed Full-time,Manufacturing,80000,General Electric,"The engineering co-op program was transformative. Three semesters of real experience gave me confidence and a network in the industry."
STU2024068,comp sci,Employed Full-time,Technology,3000000,,Outlier salary removed by cleaning pipeline
STU2024069,Business,Seeking Employment,Consulting,,,"Consulting recruiting is extremely competitive with limited entry points. I am building case interview skills and expanding my network."
STU2024070,comp sci,Employed Full-time,Technology,95000,Google,"The technical interview prep resources on campus were invaluable. Mock interviews with alumni helped me secure multiple offers."
STU2024071,Electrical Engineering,Employed Full-time,Technology,93000,Texas Instruments,"Analog circuit design is underappreciated but critical. The hands-on lab courses here prepared me better than any online resource."
STU2024072,Psychology,Graduate School,Healthcare,,,"Clinical psychology doctoral programs are highly selective. Research experience and strong recommendation letters are essential."
STU2024073,Data Science,Employed Full-time,Finance,100000,Bloomberg,"Financial data science combines market knowledge with engineering skills. The fast pace of financial markets is energizing and demanding."
